id,content,assignment_id,worker_id,task_id
0,"{""Address236"": 0.0, ""Address249"": 0.0, ""Address985"": 0.0, ""Address535"": 0.0, ""Address918"": 1.0, ""Address66"": 0.0, ""Address387"": 0.0, ""Address947"": 0.0, ""Address307"": 0.0, ""Address11"": 0.0}",39NZMJM2JZOGMC4WLCANQWRKCMVZCZ,A2MDAUODYTMC4W,3L0YOCAXMJOXMTO1NI4YNTA5
1,"{""Address997"": 0.0, ""Address751"": 0.0, ""Address89"": 1.0, ""Address115"": 0.0, ""Address653"": 0.0, ""Address53"": 1.0, ""Address710"": 0.0, ""Address150"": 0.0, ""Address579"": 1.0, ""Address694"": 0.0}",39NZOTK3JZOGMC4WLCANQWRKCMVZCZ,A2MDAUODYTMC4W,3L0YOCAXMJOXMTO1NI4YNTEW
2,"{""Address733"": 0.0, ""Address748"": 0.0, ""Address640"": 0.0, ""Address130"": 0.0, ""Address382"": 0.0, ""Address951"": 0.0, ""Address606"": 0.0, ""Address881"": 0.0, ""Address757"": 0.0, ""Address20"": 0.0}",39NZNZMZJZOGMC4WLCANQWRKCMVZCZ,A2MDAUODYTMC4W,3L0YOCAXMJOXMTO1NI4YNTEX
3,"{""Address99"": 1.0, ""Address362"": 0.0, ""Address542"": 0.0, ""Address643"": 0.0, ""Address402"": 0.0, ""Address612"": 0.0, ""Address859"": 0.0, ""Address577"": 0.0, ""Address996"": 0.0, ""Address842"": 1.0}",39NZOTKNOIAXLJASICDBZGRYZXNZMZ,A2MDAUODYTMC4W,3L0YOCAXMJOXMTO1NI4YNTEY
4,"{""Address486"": 0.0, ""Address262"": 0.0, ""Address387"": 0.0, ""Address195"": 0.0, ""Address196"": 0.0, ""Address299"": 0.0, ""Address959"": 0.0, ""Address468"": 0.0, ""Address780"": 0.0, ""Address140"": 1.0}",39NZNDG2JZOGMC4WLCANQWRKCMVZCZ,A2MDAUODYTMC4W,3L0YOCAXMJOXMTO1NI4YNTEZ
5,"{""Address437"": 0.0, ""Address913"": 1.0, ""Address423"": 0.0, ""Address951"": 0.0, ""Address288"": 0.0, ""Address472"": 1.0, ""Address131"": 0.0, ""Address876"": 0.0, ""Address316"": 0.0, ""Address941"": 0.0}",39NZNDM3JZOGMC4WLCANQWRKCMVZCZ,A2MDAUODYTMC4W,3L0YOCAXMJOXMTO1NI4YNTE0
6,"{""Address371"": 0.0, ""Address224"": 0.0, ""Address845"": 0.0, ""Address118"": 0.0, ""Address693"": 0.0, ""Address888"": 0.0, ""Address889"": 0.0, ""Address868"": 0.0, ""Address966"": 0.0, ""Address600"": 0.0}",39NZMZCXJZOGMC4WLCANQWRKCMVZCZ,A2MDAUODYTMC4W,3L0YOCAXMJOXMTO1NI4YNTE1
7,"{""Address914"": 0.0, ""Address649"": 0.0, ""Address172"": 0.0, ""Address0"": 0.0, ""Address133"": 0.0, ""Address122"": 0.0, ""Address443"": 1.0, ""Address706"": 0.0, ""Address370"": 0.0, ""Address754"": 0.0}",39NZOTE0JZOGMC4WLCANQWRKCMVZCZ,A2MDAUODYTMC4W,3L0YOCAXMJOXMTO1NI4YNTE1
8,"{""Address648"": 1.0, ""Address925"": 1.0, ""Address285"": 1.0, ""Address804"": 0.0, ""Address524"": 0.0, ""Address522"": 0.0, ""Address612"": 0.0, ""Address414"": 0.0, ""Address590"": 0.0, ""Address606"": 1.0}",39NZNJQ4JZOGMS4WLCANQWRKCMVZCZ,A2MTAUODYWLJQ0,3L0YOCAXMJOXMTO1NI4YNTE3
9,"{""Address371"": 0.0, ""Address372"": 0.0, ""Address362"": 1.0, ""Address111"": 1.0, ""Address241"": 1.0, ""Address159"": 0.0, ""Address193"": 1.0, ""Address318"": 1.0, ""Address401"": 1.0, ""Address879"": 0.0}",39NZMZCXJZOGMC4WLCANQWRKCMVZCZ,A2MTAUODYWLJQ0,3L0YOCAXMJOXMTO1NI4YNTE4
10,"{""Address486"": 0.0, ""Address164"": 1.0, ""Address816"": 1.0, ""Address116"": 1.0, ""Address652"": 0.0, ""Address523"": 0.0, ""Address386"": 0.0, ""Address395"": 1.0, ""Address842"": 1.0, ""Address596"": 0.0}",39NZNDG2JZOGMC4WLCANQWRKCMVZCZ,A2MTAUODYWLJQ0,3L0YOCAXMJOXMTO1NI4YNTE5
11,"{""Address680"": 1.0, ""Address871"": 1.0, ""Address652"": 1.0, ""Address898"": 0.0, ""Address759"": 1.0, ""Address767"": 1.0, ""Address454"": 0.0, ""Address985"": 0.0, ""Address42"": 0.0, ""Address141"": 0.0}",39NZNJGWJZOGMS4WLCANQWRKCMVZCZ,A2MTAUODYWLJQ0,3L0YOCAXMJOXMTO1NI4YNTIW
12,"{""Address118"": 0.0, ""Address183"": 1.0, ""Address169"": 0.0, ""Address652"": 1.0, ""Address323"": 0.0, ""Address244"": 0.0, ""Address456"": 0.0, ""Address995"": 1.0, ""Address338"": 0.0, ""Address708"": 0.0}",39NZMTE4JZOGMC4WLCANQWRKCMVZCZ,A2MTAUODYWLJQ0,3L0YOCAXMJOXMTO1NI4YNTIW
13,"{""Address430"": 0.0, ""Address525"": 0.0, ""Address3"": 0.0, ""Address356"": 1.0, ""Address581"": 1.0, ""Address978"": 0.0, ""Address672"": 1.0, ""Address604"": 1.0, ""Address632"": 0.0, ""Address747"": 0.0}",39NZNDMWJZOGMC4WLCANQWRKCMVZCZ,A2MTAUODYWLJQ0,3L0YOCAXMJOXMTO1NI4YNTIX
14,"{""Address172"": 0.0, ""Address876"": 1.0, ""Address347"": 0.0, ""Address137"": 1.0, ""Address736"": 0.0, ""Address829"": 0.0, ""Address898"": 0.0, ""Address317"": 1.0, ""Address631"": 0.0, ""Address161"": 0.0}",39NZMTCYJZOGMC4WLCANQWRKCMVZCZ,A2MTAUODYWLJQ0,3L0YOCAXMJOXMTO1NI4YNTIY
15,"{""Address87"": 0.0, ""Address115"": 0.0, ""Address939"": 0.0, ""Address4"": 0.0, ""Address186"": 0.0, ""Address137"": 0.0, ""Address717"": 0.0, ""Address550"": 0.0, ""Address622"": 0.0, ""Address16"": 0.0}",39NZODCNOIAWLJASICDBZGRYZXNZMT,A2MJAUODYTMC4W,3L0YOCAXMJOXMTO1NI4YNTI0
16,"{""Address165"": 0.0, ""Address223"": 0.0, ""Address360"": 0.0, ""Address828"": 0.0, ""Address499"": 0.0, ""Address401"": 0.0, ""Address573"": 0.0, ""Address317"": 0.0, ""Address994"": 0.0, ""Address637"": 0.0}",39NZMTY1JZOGMC4WLCANQWRKCMVZCZ,A2MJAUODYTMC4W,3L0YOCAXMJOXMTO1NI4YNTI1
17,"{""Address103"": 0.0, ""Address167"": 0.0, ""Address925"": 0.0, ""Address358"": 0.0, ""Address104"": 0.0, ""Address537"": 0.0, ""Address242"": 0.0, ""Address968"": 0.0, ""Address36"": 0.0, ""Address995"": 0.0}",39NZMTAZJZOGMC4WLCANQWRKCMVZCZ,A2MJAUODYTMC4W,3L0YOCAXMJOXMTO1NI4YNTI1
18,"{""Address487"": 0.0, ""Address373"": 0.0, ""Address255"": 0.0, ""Address427"": 0.0, ""Address875"": 0.0, ""Address903"": 0.0, ""Address977"": 0.0, ""Address989"": 0.0, ""Address966"": 0.0, ""Address49"": 0.0}",39NZNDG3JZOGMC4WLCANQWRKCMVZCZ,A2MJAUODYTMC4W,3L0YOCAXMJOXMTO1NI4YNTI2
19,"{""Address912"": 0.0, ""Address935"": 0.0, ""Address322"": 1.0, ""Address642"": 0.0, ""Address523"": 0.0, ""Address126"": 0.0, ""Address585"": 0.0, ""Address720"": 0.0, ""Address23"": 0.0, ""Address791"": 0.0}",39NZOTEYJZOGMC4WLCANQWRKCMVZCZ,A2MZAUODYWLJEY,3L0YOCAXMJOXMTO1NI4YNTI3
20,"{""Address226"": 0.0, ""Address529"": 1.0, ""Address526"": 0.0, ""Address722"": 0.0, ""Address343"": 0.0, ""Address73"": 0.0, ""Address441"": 0.0, ""Address551"": 0.0, ""Address647"": 0.0, ""Address972"": 0.0}",39NZMJI2JZOGMC4WLCANQWRKCMVZCZ,A2MZAUODYWLJEY,3L0YOCAXMJOXMTO1NI4YNTI4
21,"{""Address282"": 0.0, ""Address261"": 0.0, ""Address535"": 0.0, ""Address438"": 1.0, ""Address31"": 1.0, ""Address839"": 0.0, ""Address53"": 1.0, ""Address985"": 0.0, ""Address469"": 0.0, ""Address596"": 0.0}",39NZMJGYJZOGMC4WLCANQWRKCMVZCZ,A2MZAUODYWLJEY,3L0YOCAXMJOXMTO1NI4YNTI5
22,"{""Address235"": 0.0, ""Address738"": 0.0, ""Address826"": 1.0, ""Address763"": 0.0, ""Address415"": 0.0, ""Address321"": 0.0, ""Address749"": 0.0, ""Address873"": 0.0, ""Address955"": 0.0}",39NZMJM1JZOGMC4WLCANQWRKCMVZCZ,A2MZAUODYWLJEY,3L0YOCAXMJOXMTO1NI4YNTMW
