id,content,assignment_id,worker_id,task_id
0,"{""Pair843-663"": 0.0, ""Pair91-452"": 0.0, ""Pair527-244"": 0.0, ""Pair820-263"": 0.0, ""Pair703-464"": 0.0, ""Pair832-605"": 0.0, ""Pair855-244"": 0.0, ""Pair825-156"": 0.0, ""Pair46-187"": 0.0, ""Pair626-471"": 0.0}",30QZLTY2MYC6IDAUMCWGJ1BHAXI5MS,A1MDAUODGWLJA0,3L0XMYAXNJOXMTOXOC4ZNDUW
1,"{""Pair75-388"": 0.0, ""Pair499-389"": 0.0, ""Pair413-193"": 0.0, ""Pair749-684"": 0.0, ""Pair91-452"": 0.0, ""Pair855-109"": 0.0, ""Pair855-244"": 0.0, ""Pair662-110"": 0.0, ""Pair331-133"": 0.0, ""Pair635-47"": 0.0}",30UTMZG4JZOGMC4WLCANUGFPCJQ5OS,A1MDAUODGWLJA0,3L0XMYAXNJOXMTOXOC4ZNDU0
2,"{""Pair612-261"": 0.0, ""Pair653-360"": 0.0, ""Pair652-494"": 0.0, ""Pair318-190"": 0.0, ""Pair761-510"": 0.0, ""Pair855-754"": 1.0, ""Pair677-271"": 0.0, ""Pair7-49"": 0.0, ""Pair261-209"": 0.0, ""Pair395-273"": 0.0}",30EYLTI2MSC6IDAUMCWGJ1BHAXI2NT,A1MDAUODGWLJA0,3L0XMYAXNJOXMTOXOC4ZNDU4
3,"{""Pair98-230"": 0.0, ""Pair632-499"": 0.0, ""Pair192-10"": 1.0, ""Pair552-4"": 0.0, ""Pair568-50"": 0.0, ""Pair375-223"": 0.0, ""Pair743-431"": 0.0, ""Pair821-784"": 0.0, ""Pair662-110"": 0.0, ""Pair642-312"": 0.0}",30GTMJMWJZOGMC4WLCANUGFPCJYZMI,A1MDAUODGWLJA0,3L0XMYAXNJOXMTOXOC4ZNDYY
4,"{""Pair401-355"": 0.0, ""Pair318-190"": 0.0, ""Pair49-190"": 0.0, ""Pair98-688"": 0.0, ""Pair847-254"": 0.0, ""Pair569-307"": 0.0, ""Pair395-394"": 0.0, ""Pair92-383"": 0.0, ""Pair791-681"": 0.0, ""Pair677-630"": 0.0}",30AXLTM1NSC6IDAUMCWGJ1BHAXIZMT,A1MDAUODGWLJA0,3L0XMYAXNJOXMTOXOC4ZNDY2
5,"{""Pair621-495"": 0.0, ""Pair652-494"": 0.0, ""Pair452-286"": 0.0, ""Pair626-471"": 0.0, ""Pair825-156"": 0.0, ""Pair568-540"": 0.0, ""Pair816-156"": 0.0, ""Pair662-110"": 0.0, ""Pair312-227"": 0.0, ""Pair310-190"": 0.0}",30IXLTQ5NSC6IDAUMCWGJ1BHAXI2NT,A1MDAUODGWLJA0,3L0XMYAXNJOXMTOXOC4ZNDY5
6,"{""Pair91-452"": 0.0, ""Pair787-755"": 0.0, ""Pair318-190"": 0.0, ""Pair311-310"": 0.0, ""Pair49-313"": 0.0, ""Pair677-271"": 0.0, ""Pair561-330"": 0.0, ""Pair573-131"": 0.0, ""Pair626-452"": 0.0, ""Pair791-681"": 0.0}",30ETNDUYJZOGMC4WLCANUGFPCJC4NY,A1MDAUODGWLJA0,3L0XMYAXNJOXMTOXOC4ZNDCZ
7,"{""Pair75-388"": 0.0, ""Pair754-142"": 0.0, ""Pair396-110"": 0.0, ""Pair49-313"": 0.0, ""Pair568-540"": 0.0, ""Pair816-156"": 0.0, ""Pair662-110"": 0.0, ""Pair312-227"": 0.0, ""Pair51-314"": 0.0, ""Pair791-681"": 0.0}",30UTMZG4JZOGMC4WLCANUGFPCJC1NC,A1MDAUODGWLJA0,3L0XMYAXNJOXMTOXOC4ZNDC2
8,"{""Pair499-389"": 0.0, ""Pair527-244"": 0.0, ""Pair290-229"": 0.0, ""Pair847-254"": 0.0, ""Pair574-481"": 0.0, ""Pair816-156"": 0.0, ""Pair730-701"": 0.0, ""Pair180-176"": 0.0, ""Pair267-19"": 0.0, ""Pair292-10"": 0.0}",30K5LTM4OSC6IDAUMCWGJ1BHAXI1MJ,A1MTAUODGWLJA0,3L0XMYAXNJOXMTOXOC4ZNDGW
9,"{""Pair652-494"": 0.0, ""Pair98-230"": 0.0, ""Pair7-568"": 0.0, ""Pair316-311"": 0.0, ""Pair572-230"": 0.0, ""Pair552-4"": 0.0, ""Pair84-529"": 0.0, ""Pair331-133"": 0.0, ""Pair791-681"": 0.0, ""Pair261-209"": 0.0}",30UYLTQ5NCC6IDAUMCWGJ1BHAXI5OC,A1MTAUODGWLJA0,3L0XMYAXNJOXMTOXOC4ZNDG0
10,"{""Pair318-190"": 0.0, ""Pair527-244"": 0.0, ""Pair710-547"": 0.0, ""Pair330-109"": 0.0, ""Pair816-156"": 0.0, ""Pair395-394"": 0.0, ""Pair573-132"": 0.0, ""Pair573-131"": 0.0, ""Pair754-142"": 0.0, ""Pair412-229"": 0.0}",30E4LTE5MCC6IDAUMCWGJ1BHAXI1MJ,A1MTAUODGWLJA0,3L0XMYAXNJOXMTOXOC4ZNDG3
11,"{""Pair8-310"": 0.0, ""Pair787-499"": 1.0, ""Pair192-10"": 0.0, ""Pair626-471"": 0.0, ""Pair832-605"": 0.0, ""Pair310-190"": 0.0, ""Pair7-49"": 0.0, ""Pair342-233"": 0.0, ""Pair703-171"": 0.0, ""Pair261-209"": 0.0}",300ZMTANOIAWLJASICDQYWLYNZG3LT,A1MTAUODGWLJA0,3L0XMYAXNJOXMTOXOC4ZNDKX
12,"{""Pair98-230"": 0.0, ""Pair632-499"": 0.0, ""Pair86-389"": 0.0, ""Pair49-190"": 0.0, ""Pair847-254"": 0.0, ""Pair832-605"": 0.0, ""Pair574-481"": 0.0, ""Pair828-789"": 0.0, ""Pair585-139"": 0.0, ""Pair605-255"": 0.0}",30GTMJMWJZOGMC4WLCANUGFPCJYZMI,A1MTAUODGWLJA0,3L0XMYAXNJOXMTOXOC4ZNDK0
13,"{""Pair690-626"": 0.0, ""Pair473-116"": 0.0, ""Pair594-318"": 0.0, ""Pair569-307"": 0.0, ""Pair568-540"": 0.0, ""Pair331-133"": 0.0, ""Pair395-394"": 0.0, ""Pair642-312"": 0.0, ""Pair310-190"": 0.0, ""Pair605-149"": 0.0}",30KWLTYYNIC6IDAUMCWGJ1BHAXI0NZ,A1MTAUODGWLJA0,3L0XMYAXNJOXMTOXOC4ZNDK4
14,"{""Pair855-527"": 0.0, ""Pair79-607"": 0.0, ""Pair98-688"": 0.0, ""Pair568-50"": 0.0, ""Pair640-144"": 0.0, ""Pair375-223"": 0.0, ""Pair568-540"": 0.0, ""Pair573-132"": 1.0, ""Pair383-375"": 0.0, ""Pair261-209"": 0.0}",30U1LTUYNYC6IDAUMCWGJ1BHAXI3OS,A1MTAUODGWLJA0,3L0XMYAXNJOXMTOXOC4ZNTAY
15,"{""Pair626-505"": 0.0, ""Pair653-495"": 0.0, ""Pair18-17"": 1.0, ""Pair192-10"": 0.0, ""Pair703-464"": 0.0, ""Pair749-684"": 0.0, ""Pair691-401"": 0.0, ""Pair755-150"": 0.0, ""Pair539-190"": 0.0, ""Pair412-229"": 0.0}",30I2LTUWNSC6IDAUMCWGJ1BHAXI2NT,A1MTAUODGWLJA0,3L0XMYAXNJOXMTOXOC4ZNTA1
16,"{""Pair401-355"": 0.0, ""Pair290-229"": 0.0, ""Pair568-540"": 0.0, ""Pair855-244"": 0.0, ""Pair816-156"": 0.0, ""Pair601-447"": 0.0, ""Pair7-49"": 0.0, ""Pair180-176"": 0.0, ""Pair412-229"": 0.0, ""Pair564-536"": 0.0}",30AXLTM1NSC6IDAUMCWGJ1BHAXIYOT,A1MTAUODGWLJA0,3L0XMYAXNJOXMTOXOC4ZNTA5
17,"{""Pair51-314"": 0.0, ""Pair828-789"": 1.0, ""Pair552-4"": 0.0, ""Pair640-144"": 0.0, ""Pair331-133"": 0.0, ""Pair312-227"": 0.0, ""Pair573-131"": 0.0, ""Pair539-190"": 0.0, ""Pair855-754"": 0.0, ""Pair768-136"": 0.0}",30ETMZE0JZOGMC4WLCANUGFPCJGYOC,A1MTAUODGWLJA0,3L0XMYAXNJOXMTOXOC4ZNTEY
18,"{""Pair91-452"": 0.0, ""Pair653-495"": 0.0, ""Pair820-263"": 0.0, ""Pair545-422"": 0.0, ""Pair703-464"": 0.0, ""Pair569-307"": 0.0, ""Pair828-789"": 0.0, ""Pair791-681"": 0.0, ""Pair267-19"": 0.0, ""Pair855-754"": 0.0}",30ETNDUYJZOGMC4WLCANUGFPCJY1MY,A1MTAUODGWLJA0,3L0XMYAXNJOXMTOXOC4ZNTE2
19,"{""Pair653-495"": 1.0, ""Pair828-789"": 0.0, ""Pair832-605"": 0.0, ""Pair331-133"": 0.0, ""Pair677-271"": 0.0, ""Pair380-164"": 0.0, ""Pair821-784"": 0.0, ""Pair51-314"": 0.0, ""Pair585-139"": 0.0, ""Pair707-410"": 0.0}",30UZLTQ5NSC6IDEUMCWGJ1BHAXI4MJ,A1MTAUODGWLJA0,3L0XMYAXNJOXMTOXOC4ZNTE5
20,"{""Pair8-310"": 0.0, ""Pair653-360"": 0.0, ""Pair652-494"": 0.0, ""Pair755-52"": 0.0, ""Pair825-663"": 0.0, ""Pair568-540"": 0.0, ""Pair330-109"": 0.0, ""Pair642-312"": 0.0, ""Pair619-461"": 0.0, ""Pair564-536"": 0.0}",300ZMTANOIAWLJASICDQYWLYNJUZLT,A1MTAUODGWLJA0,3L0XMYAXNJOXMTOXOC4ZNTIZ
21,"{""Pair318-190"": 0.0, ""Pair499-389"": 0.0, ""Pair572-230"": 0.0, ""Pair330-109"": 0.0, ""Pair380-164"": 0.0, ""Pair642-312"": 0.0, ""Pair619-461"": 0.0, ""Pair412-229"": 0.0, ""Pair529-192"": 0.0, ""Pair855-754"": 0.0}",30E4LTE5MCC6IDAUMCWGJ1BHAXI0OT,A1MTAUODGWLJA0,3L0XMYAXNJOXMTOXOC4ZNTI2
