id,content,assignment_id,worker_id,task_id
0,"{""Pair326-223"": 0.0, ""Pair632-390"": 0.0, ""Pair791-54"": 0.0, ""Pair319-219"": 0.0, ""Pair37-319"": 1.0, ""Pair439-31"": 0.0, ""Pair613-465"": 0.0, ""Pair8-652"": 0.0, ""Pair480-388"": 0.0, ""Pair706-286"": 0.0}",30I2LTIYMYC6IDAUMCWGJ1BHAXI2MZ,A1MDAUODGWLJA0,3L0YOCAXMZO0ODOYMC4WNZE2
1,"{""Pair383-223"": 0.0, ""Pair828-312"": 0.0, ""Pair825-499"": 0.0, ""Pair717-244"": 0.0, ""Pair144-143"": 1.0, ""Pair73-106"": 0.0, ""Pair313-306"": 0.0, ""Pair816-180"": 0.0, ""Pair45-187"": 0.0, ""Pair471-375"": 0.0}",30GZLTIYMYC6IDAUMCWGJ1BHAXI4MJ,A1MDAUODGWLJA0,3L0YOCAXMZO0ODOYMC4WNZIY
2,"{""Pair76-388"": 0.0, ""Pair75-388"": 0.0, ""Pair97-688"": 0.0, ""Pair50-318"": 0.0, ""Pair91-706"": 0.0, ""Pair776-39"": 0.0, ""Pair792-357"": 0.0, ""Pair702-461"": 0.0, ""Pair715-572"": 1.0, ""Pair646-564"": 0.0}",30YTMZG4JZOGMC4WLCANUGFPCJC1LT,A1MDAUODGWLJA0,3L0YOCAXMZO0ODOYMC4WNZI5
3,"{""Pair390-219"": 0.0, ""Pair393-23"": 0.0, ""Pair632-219"": 0.0, ""Pair675-574"": 0.0, ""Pair377-342"": 0.0, ""Pair708-203"": 0.0, ""Pair695-677"": 0.0, ""Pair761-391"": 0.0, ""Pair455-145"": 0.0, ""Pair478-377"": 0.0}",30KWLTIXOSC6IDAUMCWGJ1BHAXIZOT,A1MDAUODGWLJA0,3L0YOCAXMZO0ODOYMC4WNZM0
4,"{""Pair559-149"": 0.0, ""Pair91-706"": 0.0, ""Pair828-190"": 0.0, ""Pair855-109"": 0.0, ""Pair428-427"": 0.0, ""Pair590-246"": 0.0, ""Pair48-281"": 0.0, ""Pair461-27"": 0.0, ""Pair80-398"": 0.0, ""Pair568-306"": 1.0}",30U5LTE0OSC6IDAUMCWGJ1BHAXI5MS,A1MDAUODGWLJA0,3L0YOCAXMZO0ODOYMC4WNZM5
5,"{""Pair651-317"": 0.0, ""Pair681-209"": 0.0, ""Pair9-1"": 0.0, ""Pair237-236"": 0.0, ""Pair828-50"": 0.0, ""Pair4-3"": 1.0, ""Pair855-478"": 0.0, ""Pair532-222"": 0.0, ""Pair539-191"": 0.0, ""Pair390-37"": 0.0}",30UXLTMXNYC6IDAUMCWGJ1BHAXI2OD,A1MDAUODGWLJA0,3L0YOCAXMZO0ODOYMC4WNZQ0
6,"{""Pair324-195"": 0.0, ""Pair855-368"": 0.0, ""Pair311-310"": 0.0, ""Pair677-22"": 0.0, ""Pair430-427"": 0.0, ""Pair717-368"": 0.0, ""Pair527-418"": 0.0, ""Pair706-326"": 0.0, ""Pair39-103"": 0.0, ""Pair577-524"": 0.0}",30I0LTE5NSC6IDAUMCWGJ1BHAXI4NT,A1MDAUODGWLJA0,3L0YOCAXMZO0ODOYMC4WNZQ5
7,"{""Pair368-213"": 0.0, ""Pair402-206"": 0.0, ""Pair331-330"": 0.0, ""Pair50-317"": 0.0, ""Pair643-144"": 0.0, ""Pair764-758"": 0.0, ""Pair518-44"": 0.0, ""Pair55-4"": 0.0, ""Pair652-568"": 1.0, ""Pair812-760"": 0.0}",30Y4LTIXMYC6IDAUMCWGJ1BHAXI0MD,A1MDAUODGWLJA0,3L0YOCAXMZO0ODOYMC4WNZUZ
8,"{""Pair569-227"": 0.0, ""Pair653-360"": 0.0, ""Pair653-495"": 0.0, ""Pair741-427"": 0.0, ""Pair666-263"": 0.0, ""Pair855-377"": 0.0, ""Pair853-29"": 0.0, ""Pair661-535"": 0.0, ""Pair811-299"": 0.0, ""Pair855-368"": 0.0}",30Y5LTIYNYC6IDAUMCWGJ1BHAXI2NT,A1MDAUODGWLJA0,3L0YOCAXMZO0ODOYMC4WNZU4
9,"{""Pair54-131"": 0.0, ""Pair652-313"": 0.0, ""Pair718-571"": 0.0, ""Pair624-110"": 0.0, ""Pair666-605"": 0.0, ""Pair413-118"": 0.0, ""Pair775-150"": 0.0, ""Pair754-483"": 0.0, ""Pair49-316"": 0.0, ""Pair569-540"": 0.0}",30QTMTMXJZOGMC4WLCANUGFPCJY1MI,A1MDAUODGWLJA0,3L0YOCAXMZO0ODOYMC4WNZYZ
10,"{""Pair855-527"": 0.0, ""Pair84-622"": 0.0, ""Pair704-249"": 0.0, ""Pair775-254"": 0.0, ""Pair56-459"": 0.0, ""Pair471-326"": 0.0, ""Pair397-395"": 0.0, ""Pair341-149"": 0.0, ""Pair855-717"": 0.0, ""Pair619-213"": 0.0}",30U1LTUYNYC6IDAUMCWGJ1BHAXI4NC,A1MDAUODGWLJA0,3L0YOCAXMZO0ODOYMC4WNZY4
11,"{""Pair574-545"": 0.0, ""Pair64-344"": 0.0, ""Pair315-191"": 0.0, ""Pair581-259"": 0.0, ""Pair802-525"": 0.0, ""Pair233-109"": 0.0, ""Pair677-341"": 0.0, ""Pair624-109"": 0.0, ""Pair817-176"": 0.0, ""Pair683-47"": 0.0}",30C0LTU0NSC6IDAUMCWGJ1BHAXI2NC,A1MDAUODGWLJA0,3L0YOCAXMZO0ODOYMC4WNZC0
12,"{""Pair828-300"": 0.0, ""Pair855-527"": 0.0, ""Pair815-30"": 0.0, ""Pair98-688"": 0.0, ""Pair690-452"": 0.0, ""Pair326-160"": 0.0, ""Pair856-473"": 0.0, ""Pair7-310"": 1.0, ""Pair770-134"": 0.0, ""Pair261-208"": 0.0}",30I4LTMWMCC6IDAUMCWGJ1BHAXI4NT,A1MDAUODGWLJA0,3L0YOCAXMZO0ODOYMC4WNZC5
13,"{""Pair622-278"": 0.0, ""Pair342-330"": 0.0, ""Pair54-495"": 0.0, ""Pair418-377"": 0.0, ""Pair619-337"": 0.0, ""Pair753-619"": 0.0, ""Pair790-229"": 0.0, ""Pair690-159"": 0.0, ""Pair611-568"": 0.0, ""Pair380-163"": 0.0}",30IYLTI3OCC6IDAUMCWGJ1BHAXIZND,A1MDAUODGWLJA0,3L0YOCAXMZO0ODOYMC4WNZG0
14,"{""Pair375-326"": 0.0, ""Pair752-524"": 0.0, ""Pair626-497"": 1.0, ""Pair572-230"": 0.0, ""Pair306-227"": 0.0, ""Pair311-227"": 0.0, ""Pair363-110"": 0.0, ""Pair400-397"": 0.0, ""Pair612-209"": 0.0, ""Pair680-357"": 0.0}",30C1LTMYNIC6IDAUMCWGJ1BHAXI3NT,A1MDAUODGWLJA0,3L0YOCAXMZO0ODOYMC4WNZG5
15,"{""Pair612-261"": 0.0, ""Pair632-36"": 0.0, ""Pair820-263"": 0.0, ""Pair816-775"": 0.0, ""Pair306-191"": 0.0, ""Pair639-166"": 0.0, ""Pair790-229"": 0.0, ""Pair810-553"": 0.0, ""Pair792-571"": 0.0, ""Pair7-312"": 0.0}",30EYLTI2MSC6IDAUMCWGJ1BHAXI2MZ,A1MDAUODGWLJA0,3L0YOCAXMZO0ODOYMC4WNZK0
16,"{""Pair92-286"": 0.0, ""Pair318-190"": 0.0, ""Pair223-160"": 0.0, ""Pair781-482"": 0.0, ""Pair269-12"": 0.0, ""Pair90-409"": 0.0, ""Pair375-223"": 0.0, ""Pair311-191"": 0.0, ""Pair719-636"": 0.0, ""Pair605-208"": 0.0}",30ITMJG2JZOGMC4WLCANUGFPCJMXOC,A1MDAUODGWLJA0,3L0YOCAXMZO0ODOYMC4WNZK4
17,"{""Pair471-375"": 0.0, ""Pair855-672"": 0.0, ""Pair706-452"": 0.0, ""Pair832-666"": 0.0, ""Pair492-417"": 0.0, ""Pair707-318"": 0.0, ""Pair679-405"": 0.0, ""Pair713-308"": 0.0, ""Pair821-451"": 0.0, ""Pair681-572"": 0.0}",30CXLTM3NSC6IDAUMCWGJ1BHAXI4NT,A1MDAUODGWLJA0,3L0YOCAXMZO0ODOYMC4WODAY
18,"{""Pair389-150"": 0.0, ""Pair50-190"": 0.0, ""Pair283-187"": 0.0, ""Pair540-317"": 0.0, ""Pair75-728"": 0.0, ""Pair661-535"": 0.0, ""Pair381-142"": 0.0, ""Pair856-473"": 0.0, ""Pair8-49"": 0.0, ""Pair99-100"": 1.0}",30G5LTE1MCC6IDAUMCWGJ1BHAXI1MC,A1MDAUODGWLJA0,3L0YOCAXMZO0ODOYMC4WODA2
19,"{""Pair773-134"": 0.0, ""Pair374-332"": 0.0, ""Pair39-24"": 0.0, ""Pair439-31"": 0.0, ""Pair98-258"": 0.0, ""Pair339-296"": 0.0, ""Pair49-311"": 0.0, ""Pair749-701"": 0.0, ""Pair664-588"": 0.0, ""Pair99-347"": 0.0}",30CZLTEZNCC6IDAUMCWGJ1BHAXIZNZ,A1MDAUODGWLJA0,3L0YOCAXMZO0ODOYMC4WODEW
20,"{""Pair538-154"": 0.0, ""Pair324-195"": 0.0, ""Pair330-133"": 0.0, ""Pair276-240"": 0.0, ""Pair695-592"": 0.0, ""Pair697-348"": 0.0, ""Pair715-62"": 0.0, ""Pair501-500"": 0.0, ""Pair317-313"": 0.0, ""Pair337-244"": 0.0}",30M4LTE1NCC6IDAUMCWGJ1BHAXIZMJ,A1MTAUODGWLJA0,3L0YOCAXMZO0ODOYMC4WODE1
