id,content,assignment_id,worker_id,task_id
0,"{""Pair652-315"": 0.0, ""Pair652-494"": 1.0, ""Pair787-180"": 0.0, ""Pair49-311"": 0.0, ""Pair682-478"": 0.0, ""Pair330-109"": 1.0, ""Pair233-109"": 0.0, ""Pair9-814"": 0.0, ""Pair753-613"": 0.0, ""Pair792-538"": 0.0}",30UYLTMXNSC6IDAUMCWGJ1BHAXI2NT,A1MDAUNZGWLJA3,3L0YNYAYMTO1OTO1OC41NZIX
1,"{""Pair365-282"": 0.0, ""Pair296-249"": 0.0, ""Pair90-681"": 0.0, ""Pair821-451"": 0.0, ""Pair706-481"": 0.0, ""Pair662-109"": 0.0, ""Pair352-197"": 0.0, ""Pair662-437"": 0.0, ""Pair679-142"": 0.0, ""Pair66-65"": 1.0}",30Y1LTI4MIC6IDAUMCWGJ1BHAXIYOT,A1MDAUNZGWLJA3,3L0YNYAYMTO1OTO1OC41NZI1
2,"{""Pair438-263"": 0.0, ""Pair390-343"": 0.0, ""Pair790-59"": 0.0, ""Pair393-23"": 1.0, ""Pair96-136"": 0.0, ""Pair63-344"": 0.0, ""Pair717-662"": 0.0, ""Pair662-244"": 0.0, ""Pair547-539"": 0.0, ""Pair251-23"": 0.0}",30M4LTI2MYC6IDAUMCWGJ1BHAXIZOT,A1MDAUNZGWLJA3,3L0YNYAYMTO1OTO1OC41NZI5
3,"{""Pair791-53"": 0.0, ""Pair645-613"": 0.0, ""Pair790-60"": 0.0, ""Pair375-165"": 0.0, ""Pair613-290"": 0.0, ""Pair375-159"": 0.0, ""Pair681-412"": 0.0, ""Pair118-117"": 1.0, ""Pair478-377"": 0.0, ""Pair611-568"": 0.0}",30KXLTUZJZOGMC4WLCANUGFPCJY0NS,A1MTAUNZGWLJA3,3L0YNYAYMTO1OTO1OC41NZMZ
4,"{""Pair91-452"": 0.0, ""Pair461-278"": 0.0, ""Pair343-319"": 0.0, ""Pair855-478"": 0.0, ""Pair363-110"": 0.0, ""Pair66-509"": 0.0, ""Pair438-141"": 0.0, ""Pair405-280"": 0.0, ""Pair749-701"": 0.0, ""Pair728-709"": 0.0}",30ETNDUYJZOGMC4WLCANUGFPCJQ2MS,A1MTAUNZGWLJA3,3L0YNYAYMTO1OTO1OC41NZM3
5,"{""Pair694-560"": 0.0, ""Pair635-11"": 0.0, ""Pair556-148"": 0.0, ""Pair489-447"": 0.0, ""Pair306-227"": 1.0, ""Pair471-223"": 0.0, ""Pair91-223"": 0.0, ""Pair568-494"": 0.0, ""Pair331-213"": 0.0, ""Pair605-255"": 0.0}",30K0LTU2MCC6IDAUMCWGJ1BHAXI2MZ,A1MTAUNZGWLJA3,3L0YNYAYMTO1OTO1OC41NZQX
6,"{""Pair562-360"": 0.0, ""Pair639-375"": 0.0, ""Pair706-471"": 0.0, ""Pair362-16"": 0.0, ""Pair369-109"": 0.0, ""Pair722-153"": 0.0, ""Pair470-198"": 1.0, ""Pair465-209"": 0.0, ""Pair812-230"": 0.0, ""Pair91-383"": 0.0}",30YYLTM2MCC6IDAUMCWGJ1BHAXI2MZ,A1MJAUNZGWLJA3,3L0YNYAYMTO1OTO1OC41NZQ1
7,"{""Pair261-229"": 0.0, ""Pair368-337"": 0.0, ""Pair56-23"": 0.0, ""Pair825-762"": 0.0, ""Pair652-50"": 0.0, ""Pair772-198"": 0.0, ""Pair790-601"": 0.0, ""Pair67-639"": 0.0, ""Pair754-201"": 0.0, ""Pair713-308"": 0.0}",30YXLTIYOSC6IDAUMCWGJ1BHAXIZNJ,A1MJAUNZGWLJA3,3L0YNYAYMTO1OTO1OC41NZQ4
8,"{""Pair460-271"": 0.0, ""Pair666-149"": 0.0, ""Pair772-418"": 0.0, ""Pair829-650"": 0.0, ""Pair313-191"": 0.0, ""Pair747-743"": 0.0, ""Pair568-311"": 0.0, ""Pair234-107"": 0.0, ""Pair825-254"": 0.0, ""Pair681-417"": 0.0}",30YWLTI3MSC6IDAUMCWGJ1BHAXI2NJ,A1MJAUNZGWLJA3,3L0YNYAYMTO1OTO1OC41NZUY
9,"{""Pair91-159"": 0.0, ""Pair617-449"": 0.0, ""Pair91-326"": 0.0, ""Pair286-223"": 0.0, ""Pair192-10"": 0.0, ""Pair639-166"": 0.0, ""Pair76-561"": 0.0, ""Pair438-214"": 0.0, ""Pair302-104"": 0.0, ""Pair706-286"": 0.0}",30ETMTU5JZOGMC4WLCANUGFPCJYXNY,A1MJAUNZGWLJA3,3L0YNYAYMTO1OTO1OC41NZU2
