id,content,assignment_id,worker_id,task_id
0,"{""Pair\""http://www.google.com/base/feeds/snippets/14992670292987095559\""-\""b0002735fi\"""": 0.0, ""Pair\""http://www.google.com/base/feeds/snippets/17075147063915025994\""-\""b000bgpqr0\"""": 0.0, ""Pair\""http://www.google.com/base/feeds/snippets/16238462345714207225\""-\""b000ivkrvs\"""": 0.0, ""Pair\""http://www.google.com/base/feeds/snippets/13919947739364726744\""-\""b000ehs6h8\"""": 0.0, ""Pair\""http://www.google.com/base/feeds/snippets/18430621475529168165\""-\""b000oftj8u\"""": 0.0, ""Pair\""http://www.google.com/base/feeds/snippets/5572182459728876600\""-\""b000mti8mq\"""": 1.0, ""Pair\""http://www.google.com/base/feeds/snippets/222400256379219119\""-\""b000ndibqy\"""": 0.0, ""Pair\""http://www.google.com/base/feeds/snippets/10471177135649344162\""-\""b00004ochj\"""": 0.0, ""Pair\""http://www.google.com/base/feeds/snippets/17771223071817478541\""-\""b000bt8trg\"""": 0.0, ""Pair\""http://www.google.com/base/feeds/snippets/15481209573698256416\""-\""b000hed3fi\"""": 0.0}",39H0DHA6LY93D3CUZ29VZ2XLLMNVBS,A2MDAUNDCWLJE1,3L0XNCAXMTOZNZOWNC43MJG4
1,"{""Pair\""http://www.google.com/base/feeds/snippets/18443941499851911640\""-\""b000gzwjgc\"""": 0.0, ""Pair\""http://www.google.com/base/feeds/snippets/2284241765475162173\""-\""b000ixvqk2\"""": 1.0, ""Pair\""http://www.google.com/base/feeds/snippets/9757350103424139605\""-\""b0009affew\"""": 0.0, ""Pair\""http://www.google.com/base/feeds/snippets/10376000923691891679\""-\""b00032heya\"""": 0.0, ""Pair\""http://www.google.com/base/feeds/snippets/18435517580056006507\""-\""b000b6n2lw\"""": 0.0, ""Pair\""http://www.google.com/base/feeds/snippets/16909088683747633392\""-\""b000e3e2km\"""": 0.0, ""Pair\""http://www.google.com/base/feeds/snippets/14736350815466474940\""-\""b000ndibge\"""": 0.0, ""Pair\""http://www.google.com/base/feeds/snippets/17359014404157181642\""-\""b000eg6d5q\"""": 1.0, ""Pair\""http://www.google.com/base/feeds/snippets/5615075942724114350\""-\""b000rhdusa\"""": 0.0, ""Pair\""http://www.google.com/base/feeds/snippets/16064170791328826375\""-\""b000e8jl80\"""": 0.0}",39H0DHA6LY93D3CUZ29VZ2XLLMNVBS,A2MDAUNDCWLJE1,3L0XNCAXMTOZNZOWNC43MZA3
2,"{""Pair\""http://www.google.com/base/feeds/snippets/11765669176361549570\""-\""b0002h6x34\"""": 0.0, ""Pair\""http://www.google.com/base/feeds/snippets/10244573068939530333\""-\""b000jx1on0\"""": 0.0, ""Pair\""http://www.google.com/base/feeds/snippets/14391445631859374347\""-\""b0001wn18u\"""": 0.0, ""Pair\""http://www.google.com/base/feeds/snippets/17823721749459533075\""-\""b000h22rbg\"""": 0.0, ""Pair\""http://www.google.com/base/feeds/snippets/3473826515983580841\""-\""b000o27ti0\"""": 0.0, ""Pair\""http://www.google.com/base/feeds/snippets/12825336441689158397\""-\""b000g0oom4\"""": 0.0, ""Pair\""http://www.google.com/base/feeds/snippets/4287560991242110323\""-\""b000ndicpy\"""": 1.0, ""Pair\""http://www.google.com/base/feeds/snippets/17208358695006589829\""-\""b000egmaj4\"""": 0.0, ""Pair\""http://www.google.com/base/feeds/snippets/16388256207576026986\""-\""b000cc22ys\"""": 0.0, ""Pair\""http://www.google.com/base/feeds/snippets/1803780371601211439\""-\""b000bgtvbc\"""": 0.0}",39H0DHA6LY93D3CUZ29VZ2XLLMNVBS,A2MDAUNDCWLJE1,3L0XNCAXMTOZNZOWNC43MZEZ
3,"{""Pair\""http://www.google.com/base/feeds/snippets/4468026794504477734\""-\""b0001y7poo\"""": 0.0, ""Pair\""http://www.google.com/base/feeds/snippets/12203635138191657547\""-\""b000ivhozk\"""": 0.0, ""Pair\""http://www.google.com/base/feeds/snippets/8761785470712681109\""-\""b000hctyte\"""": 0.0, ""Pair\""http://www.google.com/base/feeds/snippets/9489728552695383239\""-\""b000o26lo8\"""": 0.0, ""Pair\""http://www.google.com/base/feeds/snippets/6376971851371386778\""-\""b000ogsyk8\"""": 0.0, ""Pair\""http://www.google.com/base/feeds/snippets/7474373712919833091\""-\""b000g80lqo\"""": 0.0, ""Pair\""http://www.google.com/base/feeds/snippets/1020259068625506033\""-\""b000ndibge\"""": 0.0, ""Pair\""http://www.google.com/base/feeds/snippets/16778737466501327415\""-\""b000kg86b4\"""": 0.0, ""Pair\""http://www.google.com/base/feeds/snippets/18354491221563512189\""-\""b000phd8ha\"""": 0.0, ""Pair\""http://www.google.com/base/feeds/snippets/12383342975629473219\""-\""b000fico2o\"""": 0.0}",39H0DHA6LY93D3CUZ29VZ2XLLMNVBS,A2MTAUNDCTMC4W,3L0XNCAXMTOZNZOWNC43MZE5
4,"{""Pair\""http://www.google.com/base/feeds/snippets/7307976815926968989\""-\""b000g80lqo\"""": 0.0, ""Pair\""http://www.google.com/base/feeds/snippets/14850746046276671647\""-\""b000he9pr8\"""": 0.0, ""Pair\""http://www.google.com/base/feeds/snippets/1729889384047112592\""-\""b000byrinm\"""": 0.0, ""Pair\""http://www.google.com/base/feeds/snippets/16073556725854260285\""-\""b000ro7h3w\"""": 0.0, ""Pair\""http://www.google.com/base/feeds/snippets/17607948727328764018\""-\""b0009yx9by\"""": 0.0, ""Pair\""http://www.google.com/base/feeds/snippets/10248910023220043204\""-\""b000e8jlas\"""": 0.0, ""Pair\""http://www.google.com/base/feeds/snippets/6470779068511561136\""-\""b000hc0lw8\"""": 0.0, ""Pair\""http://www.google.com/base/feeds/snippets/12910379210003509266\""-\""b000ndibhi\"""": 0.0, ""Pair\""http://www.google.com/base/feeds/snippets/10568264795540984053\""-\""b000i8od5w\"""": 0.0, ""Pair\""http://www.google.com/base/feeds/snippets/18118065911754783035\""-\""b000p9cr66\"""": 0.0}",39H0DHA6LY93D3CUZ29VZ2XLLMNVBS,A2MTAUNDCTMC4W,3L0XNCAXMTOZNZOWNC43MZI1
5,"{""Pair\""http://www.google.com/base/feeds/snippets/17570801106897429429\""-\""b000j588ge\"""": 0.0, ""Pair\""http://www.google.com/base/feeds/snippets/7739419455751524618\""-\""b000eiau3u\"""": 0.0, ""Pair\""http://www.google.com/base/feeds/snippets/18377490087458020504\""-\""b000kzf7oo\"""": 1.0, ""Pair\""http://www.google.com/base/feeds/snippets/790771655328756919\""-\""b000ndibnc\"""": 0.0, ""Pair\""http://www.google.com/base/feeds/snippets/17001745805951209994\""-\""b000a7bibs\"""": 0.0, ""Pair\""http://www.google.com/base/feeds/snippets/16739457974540227778\""-\""b00014tct0\"""": 1.0, ""Pair\""http://www.google.com/base/feeds/snippets/18422515088050583214\""-\""b000abapo0\"""": 0.0, ""Pair\""http://www.google.com/base/feeds/snippets/9386459009047752378\""-\""b000ias0i6\"""": 1.0, ""Pair\""http://www.google.com/base/feeds/snippets/12642359421626863460\""-\""b00004tkvy\"""": 0.0, ""Pair\""http://www.google.com/base/feeds/snippets/6959766318020460134\""-\""b000k6crb4\"""": 0.0}",39H0DHA6LY93D3CUZ29VZ2XLLMNVBS,A2MJAUNDCWLJEW,3L0XNCAXMTOZNZOWNC43MZMX
6,"{""Pair\""http://www.google.com/base/feeds/snippets/13870716773183751212\""-\""b000hc0m36\"""": 0.0, ""Pair\""http://www.google.com/base/feeds/snippets/2854532146016566771\""-\""b000pdnhno\"""": 0.0, ""Pair\""http://www.google.com/base/feeds/snippets/16914654163317894962\""-\""b000rwdd9q\"""": 0.0, ""Pair\""http://www.google.com/base/feeds/snippets/4224056639442959853\""-\""b000e8jlbc\"""": 1.0, ""Pair\""http://www.google.com/base/feeds/snippets/4921806606938865897\""-\""b0001wn1ee\"""": 0.0, ""Pair\""http://www.google.com/base/feeds/snippets/15315731988494931444\""-\""b000e8jlbc\"""": 0.0, ""Pair\""http://www.google.com/base/feeds/snippets/222400256379219119\""-\""b000o27t8a\"""": 0.0, ""Pair\""http://www.google.com/base/feeds/snippets/14391445631859374347\""-\""b000cc22ys\"""": 1.0, ""Pair\""http://www.google.com/base/feeds/snippets/8317633865991250636\""-\""b000bx5ggy\"""": 0.0, ""Pair\""http://www.google.com/base/feeds/snippets/10513395995817997188\""-\""b0002cu1nw\"""": 0.0}",39H0DHA6LY93D3CUZ29VZ2XLLMNVBS,A2MJAUNDCWLJEW,3L0XNCAXMTOZNZOWNC43MZM2
7,"{""Pair\""http://www.google.com/base/feeds/snippets/10053807702206861703\""-\""b000bd1rty\"""": 0.0, ""Pair\""http://www.google.com/base/feeds/snippets/13462613778315667738\""-\""b000hbxjuk\"""": 0.0, ""Pair\""http://www.google.com/base/feeds/snippets/18114452592641877631\""-\""b0000ycfdg\"""": 0.0, ""Pair\""http://www.google.com/base/feeds/snippets/10301544386744816648\""-\""b000exs47y\"""": 0.0, ""Pair\""http://www.google.com/base/feeds/snippets/17157077891501808030\""-\""b000ndic9a\"""": 0.0, ""Pair\""http://www.google.com/base/feeds/snippets/3528611718110158975\""-\""b000v7riie\"""": 0.0, ""Pair\""http://www.google.com/base/feeds/snippets/13919947739364726744\""-\""b000ndibe6\"""": 0.0, ""Pair\""http://www.google.com/base/feeds/snippets/17737819843616715912\""-\""b000h1df7w\"""": 1.0, ""Pair\""http://www.google.com/base/feeds/snippets/5527718669808727624\""-\""b000egwc42\"""": 0.0, ""Pair\""http://www.google.com/base/feeds/snippets/17972913482792910177\""-\""b000bnb72g\"""": 0.0}",39H0DHA6LY93D3CUZ29VZ2XLLMNVBS,A2MZAUNDCWLJA1,3L0XNCAXMTOZNZOWNC43MZQX
8,"{""Pair\""http://www.google.com/base/feeds/snippets/12219649046294237633\""-\""b0009affew\"""": 0.0, ""Pair\""http://www.google.com/base/feeds/snippets/10834301366840736522\""-\""b000ndibci\"""": 0.0, ""Pair\""http://www.google.com/base/feeds/snippets/13465309500499088471\""-\""b000ga99tm\"""": 0.0, ""Pair\""http://www.google.com/base/feeds/snippets/15762572854796538007\""-\""b000i8od3y\"""": 0.0, ""Pair\""http://www.google.com/base/feeds/snippets/13509576982494103012\""-\""b000g0lkcg\"""": 0.0, ""Pair\""http://www.google.com/base/feeds/snippets/13436710406151784228\""-\""b000ehs6h8\"""": 0.0, ""Pair\""http://www.google.com/base/feeds/snippets/10092468528845066077\""-\""b00008mnxq\"""": 0.0, ""Pair\""http://www.google.com/base/feeds/snippets/18435954901092427938\""-\""b000a7bibs\"""": 0.0, ""Pair\""http://www.google.com/base/feeds/snippets/6959766318020460134\""-\""b000ccvp0a\"""": 0.0, ""Pair\""http://www.google.com/base/feeds/snippets/18403866794415896226\""-\""b000ik414i\"""": 0.0}",39H0DHA6LY93D3CUZ29VZ2XLLMNVBS,A2MZAUNDCWLJA1,3L0XNCAXMTOZNZOWNC43MZQ1
9,"{""Pair\""http://www.google.com/base/feeds/snippets/4224056639442959853\""-\""b000ndibjq\"""": 0.0, ""Pair\""http://www.google.com/base/feeds/snippets/16407653863068941558\""-\""b000hjott2\"""": 0.0, ""Pair\""http://www.google.com/base/feeds/snippets/8968352871606641625\""-\""b000gamw7s\"""": 0.0, ""Pair\""http://www.google.com/base/feeds/snippets/5181661570525386541\""-\""b000ndibci\"""": 0.0, ""Pair\""http://www.google.com/base/feeds/snippets/12737245292905990966\""-\""b0009yegcu\"""": 0.0, ""Pair\""http://www.google.com/base/feeds/snippets/8401993747038150345\""-\""b00029bosq\"""": 0.0, ""Pair\""http://www.google.com/base/feeds/snippets/2261905427242154693\""-\""b0001h9l5m\"""": 0.0, ""Pair\""http://www.google.com/base/feeds/snippets/16082214750107850450\""-\""b0002z4boo\"""": 0.0, ""Pair\""http://www.google.com/base/feeds/snippets/5155217336879101407\""-\""b0002nt5ho\"""": 0.0, ""Pair\""http://www.google.com/base/feeds/snippets/222400256379219119\""-\""b000e8jlda\"""": 0.0}",39H0DHA6LY93D3CUZ29VZ2XLLMNVBS,A2NDAUNDCTMC4X,3L0XNCAXMTOZNZOWNC43MZUW
